# Written on 11Apr2024 at 15:14:19 
# Input file comment: k-mesh for interpolation of KRrBr2
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
        34   0.000000000      0.4577245798       0.000000000       1.100333041     -0.1308825835E-05  0.2973206436      0.7954523289E-06
        34   0.000000000      0.4577245798       0.000000000       1.100333129     -0.4592703875E-06  0.2973221305     -0.2625784445E-05
        34   0.000000000      0.4577245798       0.000000000       1.786734801      0.1613384317E-05   2.711203308      0.2923530171E-05
        34   0.000000000      0.4577245798       0.000000000       2.109512731      0.3562093150E-06 -0.4344399253E-01 -0.2288079973E-05
        34   0.000000000      0.4577245798       0.000000000       2.109512797      0.2655784636E-05 -0.4344609792E-01  0.3661381589E-06
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01  0.8341648019     -0.2720505715      -2.090544567     -0.2720508880    
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01   1.121382702     -0.5140858408E-02  0.1795005113     -0.5138119213E-02
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01   1.139982122     -0.2403961362      0.2472847560     -0.2403972257    
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01   1.982320305      0.6996014508E-01   2.452809033      0.6995982847E-01
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01   2.073352115      0.4232467241     -0.4328888781E-01  0.4232513810    
        35 -0.7628742997E-01  0.5340120098     -0.7628742997E-01   2.082487810      0.3088392607      0.3085022797E-01  0.3088386073    
        36 -0.1525748599      0.6102994398     -0.1525748599      0.7654341633     -0.5538320180      -1.373025363     -0.5538355084    
        36 -0.1525748599      0.6102994398     -0.1525748599       1.125468544      0.2006717984E-01 -0.2206516336E-01  0.2006785260E-01
        36 -0.1525748599      0.6102994398     -0.1525748599       1.209514086     -0.4591255947      0.1662482148     -0.4591217718    
        36 -0.1525748599      0.6102994398     -0.1525748599       1.977546342      0.7749111783     -0.3930730743E-01  0.7749074463    
        36 -0.1525748599      0.6102994398     -0.1525748599       2.025820153      0.5154031975      0.1673615491      0.5153999426    
        36 -0.1525748599      0.6102994398     -0.1525748599       2.128083007      0.1951858360       1.821521979      0.1951858497    
        37 -0.2288622899      0.6865868697     -0.2288622899      0.7875078393     -0.7176137514     -0.6558588061     -0.7176135100    
        37 -0.2288622899      0.6865868697     -0.2288622899       1.121588072     -0.8674506063E-01 -0.1162460932     -0.8674415180E-01
        37 -0.2288622899      0.6865868697     -0.2288622899       1.304227206     -0.6569639666      0.7848756003E-01 -0.6569615688    
        37 -0.2288622899      0.6865868697     -0.2288622899       1.836737940       1.014524459     -0.3058858980E-01   1.014521506    
        37 -0.2288622899      0.6865868697     -0.2288622899       1.946651730      0.7169109781      0.1787608770      0.7169109911    
        37 -0.2288622899      0.6865868697     -0.2288622899       2.198512137      0.2728649785      0.9643006374      0.2728652315    
        38 -0.3051497199      0.7628742997     -0.3051497199      0.8726524153     -0.6865166302      0.1973321254E-05 -0.6865186507    
        38 -0.3051497199      0.7628742997     -0.3051497199       1.150529434     -0.4008560855      0.5830389273E-06 -0.4008550696    
        38 -0.3051497199      0.7628742997     -0.3051497199       1.421026585     -0.8303058620     -0.3248992927E-06 -0.8303066380    
        38 -0.3051497199      0.7628742997     -0.3051497199       1.670350529       1.126079658     -0.5267378337E-06   1.126079790    
        38 -0.3051497199      0.7628742997     -0.3051497199       1.826758916      0.9626666904      0.1577355066E-05  0.9626671919    
        38 -0.3051497199      0.7628742997     -0.3051497199       2.194356599      0.2546588501      0.1160337162E-05  0.2546610744    
        39 -0.3814371498      0.8391617297     -0.3814371498      0.9864907439     -0.4806964094      0.6023256464     -0.4806994760    
        39 -0.3814371498      0.8391617297     -0.3814371498       1.254244268     -0.8456585103      0.2430963105     -0.8456564075    
        39 -0.3814371498      0.8391617297     -0.3814371498       1.495415169      0.9740367361     -0.6494794466E-01  0.9740316653    
        39 -0.3814371498      0.8391617297     -0.3814371498       1.561130225     -0.8257823294      0.7193547192E-01 -0.8257767150    
        39 -0.3814371498      0.8391617297     -0.3814371498       1.653001367       1.157012007     -0.2669416502       1.157007172    
        39 -0.3814371498      0.8391617297     -0.3814371498       2.123054040      0.1963683481     -0.9539876772      0.1963689748    
